cell_id,B2_2020,B3_2020,B4_2020,B8_2020,B11_2020,NDVI_2020,NDWI_2020,NDBI_2020,vegetation_2021,built_up_2021,water_2021,other_2021
"4928,25325",321.0024524831392,519.7336603310852,467.032985898222,2133.6255058246475,1623.096689147762,0.6247513806528128,-0.580152176067877,-0.1015798173127155,1.0,0.0,0.0,1.1102230246251563e-16
"4929,25325",331.41931322519065,593.6351170282529,473.1871668044593,3336.775985688632,2004.1894475012136,0.7318200889029555,-0.6805698696671829,-0.2285967463292084,0.9978478992075708,0.0,0.0021521007924291,5.767955557622884e-17
"4930,25325",280.40177562550446,462.654519774011,454.1359564164648,2099.039749798224,1685.5621065375306,0.6455222426285083,-0.6388215419558338,-0.1105886739082011,1.0,0.0,0.0,0.0
"4927,25326",433.3909944053416,706.2743638332424,659.0970041508746,3139.511279552424,2127.376060277927,0.6579377751104326,-0.6322922874215423,-0.191804981752642,1.0,0.0,0.0,0.0
"4928,25326",305.23838991711114,514.8365504712158,451.068127625752,2332.548711252411,1674.4738276371058,0.6520671182248624,-0.6065351300911166,-0.1206460224151539,1.0,0.0,0.0,0.0
"4929,25326",331.3209736316929,601.2312587575899,428.9529160120588,3700.8762844465177,1986.8672667827263,0.7804354642344054,-0.7102111268455223,-0.2836555251665871,1.0,0.0,0.0,0.0
"4930,25326",397.5649559802448,604.5625325930242,612.6433326175647,2595.210221172428,2035.898248412528,0.6196105922430644,-0.6220619529467175,-0.1139708167282602,1.0,0.0,0.0,0.0
"4927,25327",418.4056991830851,721.6190293128302,612.729101393561,3585.5234406535333,2218.2935127342625,0.6999738078248106,-0.6555077022918633,-0.2214015911545295,1.0,0.0,0.0,1.1102230246251563e-16
"4928,25327",399.4211878955853,730.8863659868435,568.3613225499514,4001.263087949356,2220.5442435775403,0.7495929784908846,-0.689103609644436,-0.2834753934478257,1.0,0.0,0.0,0.0
"4929,25327",342.8397369251073,600.0012382743585,484.2579056808746,3268.180717965484,2018.5838288377688,0.7131568603160947,-0.6646244626070696,-0.207775601802659,0.9940427520149516,0.0,0.0059572479850484,-1.0408340855860844e-16
"4930,25327",458.0863175145578,711.1974092541584,754.1102374559786,2973.119686878904,2517.157990167022,0.5941661402438491,-0.612402468197192,-0.0817695551513499,1.0,0.0,0.0,0.0
"4931,25327",593.9224712856616,888.4815054958624,1000.8302766456712,2988.2908793380266,2897.8183895269844,0.5091080903168893,-0.5465373077547939,-0.0152494151277377,1.0,0.0,0.0,0.0
"4927,25328",393.7167218304792,619.4217153547273,559.3446539070372,2463.8243991941285,1790.3731831918265,0.5953712627986361,-0.5567010058186186,-0.1053377742320307,0.993349542334096,0.0066504576659038,0.0,1.0581813203458523e-16
"4928,25328",437.01113339826617,731.5519204991468,669.6302062740488,3632.9200121507865,2425.357753840517,0.6841526843148404,-0.6581591017285103,-0.1928269089226879,0.9999903561474738,9.64385252620717e-06,0.0,1.2739375526704677e-17
"4929,25328",478.5968512277325,767.7813529128559,786.4897400096293,3069.16506981223,2277.209730380359,0.6026867511460631,-0.5988549951640878,-0.1470440276820848,0.9850901525658806,0.0099976883957466,0.0,0.0049121590383727
"4930,25328",449.399571497352,727.2637072701017,683.528040442947,3457.3611266249422,2436.484906114589,0.6649021985652859,-0.6472849036258177,-0.1674463091360404,1.0,0.0,0.0,0.0
"4931,25328",536.3281266352698,836.1986394557824,842.4125588697017,3518.271507064364,2717.5633437990587,0.6065034312769199,-0.6100553156163504,-0.122856407045904,1.0,0.0,0.0,0.0
"4926,25329",366.6363636363637,579.0909090909091,563.8181818181819,2806.8181818181824,1716.0000000000002,0.6643439622341661,-0.6572374988240588,-0.2402524345036493,1.0,0.0,0.0,0.0
"4927,25329",421.6304630593127,687.9684009712097,543.6653572667352,3492.8175598335024,1928.6193635102304,0.6871358018114081,-0.6301230469063247,-0.2510872883433963,0.9152904031642496,0.0847095968357504,0.0,5.551115123125783e-17
"4928,25329",583.2405345533342,825.9632940043335,784.2259089814582,3013.8102961714376,2037.5287358535984,0.5187830258144362,-0.5054166852989563,-0.1397522115547591,0.6524246976350051,0.3475753023649948,0.0,5.551115123125783e-17
"4929,25329",471.1682205634474,738.8045701902231,750.696705995665,2876.385417770284,2173.006183481818,0.5575237547210543,-0.5536951286823475,-0.0964423175051535,0.9527578768970032,0.025142515984901,0.0220996071180956,1.1796119636642288e-16
"4930,25329",674.3625302469969,984.373339268592,1137.540336940143,3014.360304524489,2635.0532689585857,0.4454589167233146,-0.495656332893097,-0.0571041734796462,1.0,0.0,0.0,0.0
"4931,25329",391.5,712.5,493.5,4584.5,2292.5,0.8056321386372588,-0.7309797998867283,-0.3332848625854297,1.0,0.0,0.0,0.0
"4932,25329",417.1125521286835,647.5158562852299,641.4568764034649,2601.4251867467115,2181.153155217451,0.6099675693272535,-0.604531735201719,-0.0926001007475666,0.9903062849861192,0.0096937150138806,0.0,4.6837533851373785e-17
"4933,25329",491.41914449660936,723.0031298904539,811.2639540949401,2370.6476264997395,2148.6264997391763,0.5367487057010315,-0.5573268102002078,-0.0641829290302163,0.8984693877551021,0.1015306122448979,0.0,-2.775557561562892e-17
"4924,25330",307.4501223690647,534.1754038179139,368.28754282917225,2787.3589574155594,1568.7811062163455,0.7323497078941488,-0.6465692521328781,-0.2352342346999767,1.0,0.0,0.0,0.0
"4925,25330",299.21718773599173,545.4161758042595,381.3882344056789,2989.2687660474267,1573.6309847455082,0.7512258915620509,-0.6684595581803937,-0.2745044616994328,1.0,0.0,0.0,1.1102230246251563e-16
"4926,25330",271.01200716148327,528.6357957420304,360.3808041100683,3391.447612190085,1680.9176040166549,0.7923488591509201,-0.7186872961809763,-0.3177823500499774,1.0,0.0,0.0,0.0
"4927,25330",262.6558883004336,475.561636976409,362.1751757342326,2877.257621569576,1581.1601974000987,0.766460979049514,-0.7085231344588151,-0.275656091151118,1.0,0.0,0.0,0.0
"4928,25330",237.66945594607645,380.3404573904679,324.9742802118443,1890.440048146368,1313.2234039480034,0.7130434470458807,-0.6672601144468059,-0.1835212721407158,0.9694556519562056,0.0305443480437943,0.0,3.122502256758253e-17
"4929,25330",502.5642224362069,674.3951949927787,733.2378141550323,1962.1200192585488,1836.6569186326449,0.4435355483476133,-0.4681910348294322,-0.0205632767265376,0.6557405463702104,0.3442594536297896,0.0,-5.551115123125783e-17
"4930,25330",474.07472014284815,674.8552591560635,743.179486299019,2075.130063673024,1824.130446299805,0.5056412191485312,-0.5216512648912228,-0.0749355754152239,0.8812398842513121,0.118760115748688,0.0,-8.326672684688674e-17
"4931,25330",253.4018878293681,408.5124171939525,354.10188485874767,1953.6348438938933,1335.4952173008971,0.7069317423651377,-0.6614997134779651,-0.1931667794072738,0.9995398750241196,0.0004601249758805458,0.0,3.4152368433293394e-18
