cell_id,B11,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,MNDWI,NDBI,NDBI_std,NDVI,NDVI_std,NDWI,brightness,distance_to_boundary_centroid,road_density,building_area_ratio
"4928,25325",1623.096689147762,321.0024524831392,519.7336603310852,467.032985898222,858.4683629675045,1895.738442673207,2211.8641937461675,2133.6255058246475,2463.37498467198,-0.0366289739569613,-0.5166004384353363,-0.0786549682086556,0.1063875315053202,0.5786025717205829,0.1921007272085778,-0.5393613311134914,1200.2091201716732,11693.647254358046,0.0,0.0
"4929,25325",2004.1894475012136,331.41931322519065,593.6351170282529,473.1871668044593,1018.719210593838,2513.5755552071187,2997.949432676687,3336.775985688632,3331.80129429541,-0.1645448857406461,-0.536665929473157,-0.2121824398796158,0.1382016096234513,0.7168185960378349,0.1952108778620928,-0.6641494667629986,1601.04848084215,11680.419622299794,0.0074385654239617,0.0191327104968717
"4930,25325",1685.5621065375306,280.40177562550446,462.654519774011,454.1359564164648,840.5803470540759,1683.662953995157,1977.2268361581912,2099.039749798224,2228.711259079904,-0.0487300781080239,-0.5541449066248508,-0.0991398832382659,0.122568261617388,0.6191711629201945,0.1716086915117565,-0.6223300044867568,1167.7268765133167,11669.45566714078,0.0170070207076799,0.0814066094739229
"4927,25326",2127.376060277927,433.3909944053416,706.2743638332424,659.0970041508746,1174.4413463273772,2403.6663508391966,2786.961469048906,3139.511279552424,3097.975275221075,-0.0979697557999971,-0.5037036892083806,-0.1586679430749751,0.1181389355860204,0.634126186338578,0.1976837162901736,-0.60770805262095,1657.2576926547542,11547.220689076545,0.0069804172910085,0.0
"4928,25326",1674.4738276371058,305.23838991711114,514.8365504712158,451.068127625752,890.0991824684903,2012.4768366072435,2446.6938230952637,2332.548711252411,2646.535653457475,-0.0637483061640575,-0.5289557193591722,-0.1012595088229697,0.1297932315573373,0.6171114982203181,0.1964609676296715,-0.5625699524022907,1238.0886084932429,11531.52011694665,0.0,0.0
"4929,25326",1986.8672667827263,331.3209736316929,601.2312587575899,428.9529160120588,1017.0687762727694,2785.787700097661,3359.4109061186364,3700.8762844465177,3698.615456880811,-0.2246712550992519,-0.5336129562674997,-0.2728350632756973,0.1495722618033384,0.7688054889595551,0.1996361059301864,-0.6986878226029486,1670.7109809562226,11518.106689576203,0.0014376396735484,0.0068889419317089
"4930,25326",2035.898248412528,397.5649559802448,604.5625325930242,612.6433326175647,1023.2177060646034,2026.8228319887112,2372.538222031351,2595.210221172428,2643.0229148133376,-0.0525820797993529,-0.5340087394808851,-0.1114715242146672,0.1121798448789174,0.6031711479795395,0.1836664685113635,-0.6126688379285715,1440.0901714776523,11506.98841605755,0.0107829962562777,0.0063960252831925
"4927,25327",2218.2935127342625,418.4056991830851,721.6190293128302,612.729101393561,1244.369149447381,2793.470418068237,3273.918894762134,3585.5234406535333,3582.529610764058,-0.15932070404736,-0.5111050110365097,-0.2173832568672701,0.1196455829490606,0.691074067925903,0.1673743022191105,-0.6455242686435502,1770.2942143200387,11385.339728910452,0.0062534290875697,0.0
"4928,25327",2220.5442435775403,399.4211878955853,730.8863659868435,568.3613225499514,1293.5857878624888,3091.136852066352,3669.5732790716847,4001.263087949356,4017.910323501419,-0.2284993149113376,-0.5051255544152641,-0.2882643269816252,0.1558375083305723,0.7485542396129002,0.1789142811124912,-0.6839223299076088,1887.9712851114843,11369.416084777582,0.0,0.0
"4929,25327",2018.5838288377688,342.8397369251073,600.0012382743585,484.2579056808746,1030.6371272034833,2530.822634720741,3018.40168568858,3268.180717965484,3317.328808569785,-0.1600273763828456,-0.537471128562967,-0.2065999915085318,0.1459545441436645,0.6992148049618302,0.1636995724212491,-0.6569198058312786,1597.22006092076,11355.81159164674,0.000212825733243,0.0
"4930,25327",2517.157990167022,458.0863175145578,711.1974092541584,754.1102374559786,1263.9388751351164,2365.5049164894185,2741.2438020851514,2973.119686878904,3061.0682903866973,-0.0253501396342049,-0.5659553360633928,-0.0801069085955921,0.1152840188624622,0.5864982755400157,0.1510872034436999,-0.6037145834566184,1752.862442902473,11344.534599431388,0.0070964585374775,0.0
"4931,25327",2897.8183895269844,593.9224712856616,888.4815054958624,1000.8302766456712,1511.4130542176115,2442.5287143386445,2778.1396196122028,2988.2908793380266,3062.0846918611824,0.0329818169221917,-0.535749869212937,-0.0224770891840708,0.0715805469594233,0.5058551517685461,0.0961169971093988,-0.5472850795162156,1943.145856490058,11335.592045431456,0.0090733401880967,0.0
"4927,25328",1790.3731831918265,393.7167218304792,619.4217153547273,559.3446539070372,998.2656137573756,2011.682292416176,2348.752698229962,2463.8243991941285,2600.105734638078,-0.0483587503462444,-0.47901824002198,-0.0940676006644102,0.0941214009568959,0.5684728896753842,0.122502162570731,-0.5305590886772238,1360.2094815800838,11223.488999280258,0.0304270303363142,0.0
"4928,25328",2425.357753840517,437.01113339826617,731.5519204991468,669.6302062740488,1268.1251482685136,2755.303210314669,3291.256203168848,3632.9200121507865,3693.4858674792936,-0.1316602226077996,-0.5359567791045055,-0.190698740932749,0.1391608740427689,0.6794003580734349,0.1621439016308432,-0.6528748690614117,1859.5638241704205,11207.335871371131,0.0,0.0
"4929,25328",2277.209730380359,478.5968512277325,767.7813529128559,786.4897400096293,1280.7836735676465,2436.5132835820914,2856.130346653826,3069.16506981223,3133.365324987967,-0.0811197520549542,-0.5098490354229355,-0.140679501401839,0.126442313504919,0.5868442252222372,0.1384495623400655,-0.5858417483222966,1727.4303310062596,11193.534802819026,0.0,0.0
"4930,25328",2436.484906114589,449.399571497352,727.2637072701017,683.528040442947,1246.5062397688978,2707.6893644679817,3158.17394318729,3457.3611266249422,3470.3874675012053,-0.1100359380314262,-0.5456016525251685,-0.1656089298146005,0.1312753885299877,0.6568063240825819,0.1311270647449598,-0.6402822623995565,1849.4996966779024,11182.094492875563,0.0,0.0
"4931,25328",2717.5633437990587,536.3281266352698,836.1986394557824,842.4125588697017,1412.7922030350603,2776.8470957613818,3217.77867608582,3518.271507064364,3541.141287284146,-0.0738250479265685,-0.530547251135563,-0.1361175643163185,0.1038579781313361,0.6108274492058438,0.1165196132237205,-0.6147909368537969,2009.360563840922,11173.02219150847,0.0076493294959332,0.0023856376679126
"4926,25329",1716.0000000000002,366.6363636363637,579.0909090909091,563.8181818181819,926.0454545454546,2017.9545454545453,2441.3636363636365,2806.8181818181824,2657.681818181818,-0.1389269652691754,-0.484221331097863,-0.198264482346448,0.1325353039938212,0.6446817029606213,0.1530756123712517,-0.616268206726421,1420.5113636363635,11080.434258012798,0.0042749963882363,0.0
"4927,25329",1928.6193635102304,421.6304630593127,687.9684009712097,543.6653572667352,1076.0216701352736,2611.012218175509,3156.868964620181,3492.8175598335024,3448.1686697884106,-0.2008228614901239,-0.4764581761866582,-0.2503172775982055,0.1334155642952108,0.6794767168248753,0.1493222269615667,-0.6251780728222559,1696.112844693026,11061.669671895816,0.0106993509942956,0.0
"4928,25329",2037.5287358535984,583.2405345533342,825.9632940043335,784.2259089814582,1239.8987719720672,2387.6283361425462,2783.1937731760136,3013.8102961714376,3015.6915868047176,-0.0983056370455989,-0.42002696253379,-0.1433089834900158,0.1174878783000444,0.5124481238683471,0.1295571983034211,-0.5007688837632076,1671.9524765229935,11045.28038645166,0.0147971151080628,0.0
"4929,25329",2173.006183481818,471.1682205634474,738.8045701902231,750.696705995665,1208.4619359499145,2293.7062171923885,2654.7944088610616,2876.385417770284,2917.9038333734625,-0.0397402935949462,-0.4957061068181554,-0.0913949651136193,0.1140100806825019,0.5351509789942027,0.1333617829292977,-0.5441272191409454,1642.7384770045735,11031.276984634274,0.0005826233152253,0.0
"4930,25329",2635.0532689585857,674.3625302469969,984.373339268592,1137.540336940143,1570.341745422999,2515.7254485686844,2831.1449230698954,3014.360304524489,3040.1396498196546,0.0101754592420729,-0.4650377605069747,-0.055976524235394,0.0923459326559996,0.4279447978886541,0.1186795545574109,-0.4854310736647256,1950.548971602061,11019.66856506242,0.0070944310168941,0.0
"4931,25329",2292.5,391.5,712.5,493.5,1168.5,3352.0,4082.5,4584.5,4370.5,-0.2887514531612396,-0.5465174317359924,-0.3403549492359161,0.1198643047122375,0.801629900932312,0.1298464987242461,-0.7295577526092529,2115.875,11010.462707329423,0.0138764115750401,0.0132235237417851
"4932,25329",2181.153155217451,417.1125521286835,647.5158562852299,641.4568764034649,1114.8551624581823,2034.0632647449704,2327.890518308052,2601.4251867467115,2625.549058246644,-0.023330285384322,-0.5475060713290621,-0.0804645297562728,0.0800042166430973,0.5706226279285848,0.0887654734717673,-0.5947044100982011,1537.2349857935012,11003.665437712416,0.0202767710774644,0.0168326534075286
"4933,25329",2148.6264997391763,491.41914449660936,723.0031298904539,811.2639540949401,1118.749347939489,1906.285080855504,2177.179707876892,2370.6476264997395,2447.106677099636,-0.0106487956790017,-0.5195885677479429,-0.061808390547723,0.0815540674705911,0.5206215295340161,0.0906247271270844,-0.5409954518281861,1546.7743870631195,10999.281216922089,0.0075410450971047,0.0354096436743858
"4924,25330",1568.7811062163455,307.4501223690647,534.1754038179139,368.28754282917225,879.3934410181101,2293.738081253055,2763.598042094952,2787.3589574155594,2997.2226138032247,-0.1716119518040617,-0.5013399897605478,-0.2120575006959142,0.1241588505233789,0.7126441816488888,0.1221857889122993,-0.6332274542659202,1376.2120778267226,10964.186162690969,0.0067081771278892,0.0377944027966143
"4925,25330",1573.6309847455082,299.21718773599173,545.4161758042595,381.3882344056789,896.112067663496,2399.091262649148,2891.6324950913768,2989.2687660474267,3101.5379851986136,-0.2002003758605876,-0.4892682682696367,-0.2463681949731574,0.1470578932341316,0.7332480050631299,0.1741239917526397,-0.6518131176108524,1401.9042157529077,10940.364056323431,0.0068140306357328,0.0
"4926,25330",1680.9176040166549,271.01200716148327,528.6357957420304,360.3808041100683,913.8178686801836,2571.127602849021,3068.315124742143,3391.447612190085,3353.555773946208,-0.2535632480580662,-0.5226115982777846,-0.3022425716961591,0.1255842780126527,0.7825064247595352,0.1626128944970318,-0.7080834265793247,1498.1510187599713,10918.92492829107,0.0084592708110906,0.0
"4927,25330",1581.1601974000987,262.6558883004336,475.561636976409,362.1751757342326,825.4040924410217,2172.209696677903,2606.22721714011,2877.257621569576,2885.8667741935515,-0.213543835249315,-0.5332710665762861,-0.2656065715950561,0.1099456624868515,0.7561306670427218,0.1659194871246577,-0.7023756416227368,1326.5947929706324,10899.882862814706,0.0079576621463114,0.0
"4928,25330",1313.2234039480034,237.66945594607645,380.3404573904679,324.9742802118443,653.6088155994228,1497.993885411653,1752.1442946557563,1890.440048146368,1963.930953298029,-0.1428324723432149,-0.5353805809730979,-0.1897189272530207,0.096663159667963,0.6855041394240315,0.1518097185611725,-0.6511972015421733,969.6047219547436,10883.250440088314,0.011985215254063,0.0
"4929,25330",1836.6569186326449,502.5642224362069,674.3951949927787,733.2378141550323,1037.4465430909977,1638.0499325950907,1843.541083293214,1962.1200192585488,2033.8350312951409,0.0305321805493236,-0.4649714859000012,-0.0066620057413237,0.0969434189005464,0.4233012889129765,0.1279652051365972,-0.4510992478740352,1297.941665864229,10869.038710917954,0.0180119950556829,0.0
"4930,25330",1824.130446299805,474.07472014284815,674.8552591560635,743.179486299019,1052.9196630922145,1732.5717179942526,1953.8748957587325,2075.130063673024,2131.4186133213016,-0.0168967996503216,-0.4660128233930471,-0.0702131188834099,0.091546269289578,0.4845460581295524,0.1325832174798852,-0.5086873694705373,1337.8563297752328,10857.25718390362,0.0059430381493022,0.0
"4931,25330",1335.4952173008971,253.4018878293681,408.5124171939525,354.10188485874767,697.8771425600821,1544.042583845768,1796.9096411490389,1953.6348438938933,2005.0526245432711,-0.148933075315119,-0.5231577391325297,-0.1991489617201537,0.111211322246017,0.6800620279763783,0.1453461920238594,-0.6473780202021201,1010.383471838519,10847.91377274808,0.0093567851517926,0.0
"4932,25330",1471.90851365213,295.19543300932975,450.0111561568902,464.95120890929576,753.1312069555033,1437.980129927223,1653.3699946270724,1798.6333463586209,1853.0151418942053,-0.0650106143767254,-0.5271105463827495,-0.1160355615733957,0.1135765622845964,0.5859896856577271,0.1124163461443935,-0.5912527830033145,1060.7840130904135,10841.014786025422,4.440936414940706e-05,0.0
"4933,25330",1664.180677342095,431.2874052374257,615.561954434789,694.4205280972259,933.8923417984588,1410.0033253498527,1578.188901644859,1677.3068031115758,1734.4483086241355,0.0652059611808586,-0.4359042747764886,0.0364819281980237,0.0917783165984677,0.3703873732921822,0.094840031785286,-0.389510417120309,1177.368876308861,10836.564888708292,0.0120155845197467,0.0
"4934,25330",1561.8645105834305,395.6729665842912,568.9258622542169,564.9192435801006,876.0132480928329,1552.390308370042,1767.7063715482964,1903.7558826689567,1958.352519608896,-0.0450676978592026,-0.4629968520381576,-0.0829201934797589,0.0833898835239224,0.5300588499273945,0.0895903082180326,-0.500257124361535,1154.668061674008,10834.567117406725,0.014634685823675,0.0
