system:index,B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,built_up,cell_id,other,vegetation,water,.geo
"4928,25325",1502.2494788473327,292.0872470876763,492.7454322501533,353.00196198651133,2589.60202329859,-0.22411109556725853,0.7260858622911496,-0.6480681427495505,0,"4928,25325",1.1102230246251565E-16,0.9999999999999999,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6331250.0],[1232250.0,6331250.0],[1232250.0,6331500.0],[1232000.0,6331500.0],[1232000.0,6331250.0]]]}"
"4929,25325",1737.7419819254808,298.55747355817243,559.0523063545919,337.9997362944384,3572.615410382877,-0.3250018437044297,0.8099302115648376,-0.7148834265363108,0,"4929,25325",5.767955557622884E-17,0.9978478992075708,0.002152100792429166,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6331250.0],[1232500.0,6331250.0],[1232500.0,6331500.0],[1232250.0,6331500.0],[1232250.0,6331250.0]]]}"
"4930,25325",1374.549071832123,224.86133979015332,365.6995964487489,281.046811945117,2227.1463680387415,-0.22792819055653638,0.7681330553769216,-0.7113520805004507,0,"4930,25325",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232500.0,6331250.0],[1232750.0,6331250.0],[1232750.0,6331500.0],[1232500.0,6331500.0],[1232500.0,6331250.0]]]}"
"4927,25326",1949.7877188233163,352.7630391626057,634.6976628767363,526.9219003789925,3080.9061992420116,-0.22781047016847114,0.7136460409045278,-0.6598631927488033,0,"4927,25326",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231750.0,6331500.0],[1232000.0,6331500.0],[1232000.0,6331750.0],[1231750.0,6331750.0],[1231750.0,6331500.0]]]}"
"4928,25326",1565.1031565799917,287.424151243329,484.48904280685775,355.14164868854283,2738.763994549788,-0.21766819617832245,0.7300013751284723,-0.660076694261568,0,"4928,25326",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6331500.0],[1232250.0,6331500.0],[1232250.0,6331750.0],[1232000.0,6331750.0],[1232000.0,6331500.0]]]}"
"4929,25326",1938.517578871385,310.65701562566346,612.4753991337944,361.4103700479811,3962.097437476114,-0.3290992103727122,0.8243904238235514,-0.7277416471855316,0,"4929,25326",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6331500.0],[1232500.0,6331500.0],[1232500.0,6331750.0],[1232250.0,6331750.0],[1232250.0,6331500.0]]]}"
"4930,25326",1773.5004908126016,360.95492193012063,563.3554556888247,493.78864382343016,2846.7477376606644,-0.2216324298040387,0.7074930697792199,-0.6690074576329461,0,"4930,25326",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232500.0,6331500.0],[1232750.0,6331500.0],[1232750.0,6331750.0],[1232500.0,6331750.0],[1232500.0,6331500.0]]]}"
"4927,25327",2275.3137433925995,411.3515713599231,744.0328976453628,674.4927054300821,3359.7378664103794,-0.18814531483823427,0.6680293475801111,-0.6359071971829394,0,"4927,25327",1.1102230246251565E-16,0.9999999999999999,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231750.0,6331750.0],[1232000.0,6331750.0],[1232000.0,6332000.0],[1231750.0,6332000.0],[1231750.0,6331750.0]]]}"
"4928,25327",2306.7003268109,409.5555113142755,780.8782681090457,580.7873040168774,3685.0850328879264,-0.22970148998537845,0.728827354278662,-0.650759994412322,0,"4928,25327",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6331750.0],[1232250.0,6331750.0],[1232250.0,6332000.0],[1232000.0,6332000.0],[1232000.0,6331750.0]]]}"
"4929,25327",1888.8025886943178,298.34173451864933,565.5144913145555,356.12910762473183,3491.9297921801744,-0.2773692306946997,0.7971297083029428,-0.7060874429571243,0,"4929,25327",-1.0408340855860843E-16,0.9940427520149516,0.005957247985048479,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6331750.0],[1232500.0,6331750.0],[1232500.0,6332000.0],[1232250.0,6332000.0],[1232250.0,6331750.0]]]}"
