system:index,B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,cell_id,.geo
"4907,25415",1946.7704876871069,968.8702704007716,1144.6330082085938,1211.6496523418627,1848.9895847416697,0.04160003631887623,0.21600669179357243,-0.24419442609745853,"4907,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1226750.0,6353750.0],[1227000.0,6353750.0],[1227000.0,6354000.0],[1226750.0,6354000.0],[1226750.0,6353750.0]]]}"
"4908,25415",1819.1121776919344,792.2420859488162,954.173689039111,1005.913862868179,1687.5968421052619,0.047889039735296325,0.24278085917715592,-0.2653570899138028,"4908,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1227000.0,6353750.0],[1227250.0,6353750.0],[1227250.0,6354000.0],[1227000.0,6354000.0],[1227000.0,6353750.0]]]}"
"4909,25415",2590.138957025589,983.1716417189754,1263.0067600193133,1523.0679913085444,2410.966687590534,0.04226775755369335,0.23444100000494433,-0.3146585476823468,"4909,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1227250.0,6353750.0],[1227500.0,6353750.0],[1227500.0,6354000.0],[1227250.0,6354000.0],[1227250.0,6353750.0]]]}"
"4910,25415",2406.0865717044885,794.7167841622402,1088.1390970545622,1244.2298841139536,2585.948174794783,-0.03912862534819806,0.37907615993988214,-0.4154347383601002,"4910,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1227500.0,6353750.0],[1227750.0,6353750.0],[1227750.0,6354000.0],[1227500.0,6354000.0],[1227500.0,6353750.0]]]}"
"4911,25415",2209.1049348140973,884.0188652824718,1084.7803959439875,1146.8516996619978,2223.442472235633,0.010235168754143896,0.3179630504055537,-0.3338846971287429,"4911,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1227750.0,6353750.0],[1228000.0,6353750.0],[1228000.0,6354000.0],[1227750.0,6354000.0],[1227750.0,6353750.0]]]}"
"4912,25415",1808.2889521970044,623.1305552873001,768.1335779816513,765.2928730082081,2265.1008981168507,-0.07121078906725509,0.4520335537151621,-0.4461190867461278,"4912,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1228000.0,6353750.0],[1228250.0,6353750.0],[1228250.0,6354000.0],[1228000.0,6354000.0],[1228000.0,6353750.0]]]}"
"4913,25415",1579.5256687590525,244.1794978271364,442.8752873008204,303.25163689039096,3088.947310478028,-0.3153597263374145,0.8156420638099153,-0.7427691523313054,"4913,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1228250.0,6353750.0],[1228500.0,6353750.0],[1228500.0,6354000.0],[1228250.0,6354000.0],[1228250.0,6353750.0]]]}"
"4914,25415",1501.8478657653302,248.98462095605976,419.394780299372,303.786692419121,2873.71004828585,-0.30942087451226413,0.8071789854903186,-0.7434697664468284,"4914,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1228500.0,6353750.0],[1228750.0,6353750.0],[1228750.0,6354000.0],[1228500.0,6354000.0],[1228500.0,6353750.0]]]}"
"4915,25415",1438.4490391115394,246.93717527764346,408.40380009657144,302.5525108643165,2622.170661516172,-0.28740719405968546,0.7927161089279595,-0.7285717128868662,"4915,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1228750.0,6353750.0],[1229000.0,6353750.0],[1229000.0,6354000.0],[1228750.0,6354000.0],[1228750.0,6353750.0]]]}"
"4916,25415",1452.9451714147742,242.4668131337515,411.03029937228365,299.4282810236599,2579.694905842586,-0.2759914053353344,0.7919125350212767,-0.7243641909146876,"4916,25415","{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1229000.0,6353750.0],[1229250.0,6353750.0],[1229250.0,6354000.0],[1229000.0,6354000.0],[1229000.0,6353750.0]]]}"
