system:index,B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,built_up,cell_id,other,vegetation,water,.geo
"4931,25327",2897.8183895269844,593.9224712856616,888.4815054958624,1000.8302766456713,2988.2908793380266,-0.015249415127737753,0.5091080903168893,-0.5465373077547939,0,"4931,25327",0.05772788947822871,0.9422721105217713,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232750.0,6331750.0],[1233000.0,6331750.0],[1233000.0,6332000.0],[1232750.0,6332000.0],[1232750.0,6331750.0]]]}"
"4927,25328",1790.3731831918265,393.71672183047923,619.4217153547273,559.3446539070372,2463.8243991941285,-0.10533777423203072,0.5953712627986361,-0.5567010058186186,0.006650457665903891,"4927,25328",1.249000902703301E-16,0.9751144164759724,0.01823512585812357,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231750.0,6332000.0],[1232000.0,6332000.0],[1232000.0,6332250.0],[1231750.0,6332250.0],[1231750.0,6332000.0]]]}"
"4928,25328",2425.357753840517,437.01113339826617,731.5519204991468,669.6302062740488,3632.9200121507865,-0.19282690892268797,0.6841526843148404,-0.6581591017285103,9.64385252620717E-6,"4928,25328",1.2739375526704677E-17,0.9999903561474738,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6332000.0],[1232250.0,6332000.0],[1232250.0,6332250.0],[1232000.0,6332250.0],[1232000.0,6332000.0]]]}"
"4929,25328",2277.209730380359,478.59685122773254,767.7813529128559,786.4897400096293,3069.16506981223,-0.14704402768208488,0.6026867511460631,-0.5988549951640878,0.017452612112806284,"4929,25328",0.14361804592387123,0.8389293419633225,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6332000.0],[1232500.0,6332000.0],[1232500.0,6332250.0],[1232250.0,6332250.0],[1232250.0,6332000.0]]]}"
"4930,25328",2436.484906114589,449.399571497352,727.2637072701017,683.528040442947,3457.3611266249422,-0.16744630913604042,0.6649021985652859,-0.6472849036258177,0,"4930,25328",0.01653760209585453,0.9834623979041455,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232500.0,6332000.0],[1232750.0,6332000.0],[1232750.0,6332250.0],[1232500.0,6332250.0],[1232500.0,6332000.0]]]}"
"4931,25328",2717.5633437990587,536.3281266352698,836.1986394557824,842.4125588697017,3518.271507064364,-0.12285640704590402,0.6065034312769199,-0.6100553156163504,0,"4931,25328",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232750.0,6332000.0],[1233000.0,6332000.0],[1233000.0,6332250.0],[1232750.0,6332250.0],[1232750.0,6332000.0]]]}"
"4926,25329",1716.0000000000002,366.63636363636374,579.0909090909091,563.8181818181819,2806.8181818181824,-0.24025243450364933,0.6643439622341661,-0.6572374988240588,0,"4926,25329",0,1.0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231500.0,6332250.0],[1231750.0,6332250.0],[1231750.0,6332500.0],[1231500.0,6332500.0],[1231500.0,6332250.0]]]}"
"4927,25329",1928.6193635102302,421.63046305931266,687.9684009712097,543.6653572667352,3492.8175598335024,-0.25108728834339633,0.6871358018114081,-0.6301230469063247,0.08470959683575048,"4927,25329",0.03393241274026768,0.880750815349386,6.07175074595795E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1231750.0,6332250.0],[1232000.0,6332250.0],[1232000.0,6332500.0],[1231750.0,6332500.0],[1231750.0,6332250.0]]]}"
"4928,25329",2037.5287358535982,583.2405345533342,825.9632940043335,784.2259089814582,3013.8102961714376,-0.13975221155475917,0.5187830258144362,-0.5054166852989563,0.3332466682073799,"4928,25329",0.04329404514290125,0.6234592866497188,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232000.0,6332250.0],[1232250.0,6332250.0],[1232250.0,6332500.0],[1232000.0,6332500.0],[1232000.0,6332250.0]]]}"
"4929,25329",2173.006183481818,471.1682205634474,738.8045701902231,750.696705995665,2876.3854177702838,-0.09644231750515356,0.5575237547210543,-0.5536951286823475,0.03512826438641092,"4929,25329",0.06754102149295112,0.8654090593944997,0.03192165472613821,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[1232250.0,6332250.0],[1232500.0,6332250.0],[1232500.0,6332500.0],[1232250.0,6332500.0],[1232250.0,6332250.0]]]}"
