cell_id,B11,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,MNDWI,NDBI,NDBI_std,NDVI,NDVI_std,NDWI,brightness,distance_to_boundary_centroid,road_density,building_area_ratio,vegetation,built_up,water,other
"4928,25325",1576.9321888412017,309.6540772532188,521.4627835683631,353.54996934396064,818.4381361128142,2225.568424279584,2646.7595340282032,2434.192274678111,2814.027774371551,-0.1497409308992742,-0.5056104583765084,-0.1821138338218395,0.1524080787335754,0.7231783948121518,0.1554183008422566,-0.6210227791916585,1217.5443592887798,11693.647257171286,0.0,0.0,0.9527568617925676,0.0,0.0472431382074325,0.0
"4929,25325",1847.0822191179425,333.3937836759132,593.769321777804,381.04123784816295,962.7157966758856,2699.7479687544574,3254.432106508542,3387.444372380765,3520.6893691022647,-0.2346330181196687,-0.5254086073056078,-0.2785561662760989,0.1298308456904952,0.789010795344513,0.1370277145070215,-0.6926853308878924,1585.280694971065,11680.41962472122,0.0074385654239617,0.0191327104968717,0.9868166011059802,0.0,0.0131833988940197,0.0
"4930,25325",1481.424737691687,276.2743341404358,440.8744552058111,358.0882163034706,750.4526634382568,1801.6791364003225,2194.2207425343004,2203.3599677158995,2430.980387409201,-0.1524887031719485,-0.5538545249569696,-0.2061058989015677,0.1185831267196961,0.7166615084643512,0.1139724434410181,-0.6601592882926471,1141.807344632768,11669.455669563737,0.0170070207076799,0.0814066094739229,1.0,0.0,0.0,0.0
"4927,25326",2021.193557119651,404.0965529687779,657.6763670817536,541.9218101425729,1024.8808428081568,2325.0920862660146,2715.5412380436733,2878.1416260602755,2984.690985381697,-0.1092552126025078,-0.5198611404852319,-0.1562806582131385,0.14534501709536,0.6919501085742625,0.1410092381408466,-0.6291075622512636,1539.3076497924546,11547.220686273648,0.0069804172910085,0.0,1.0,0.0,0.0,0.0
"4928,25326",1659.4648007266926,317.60054502100564,519.4460088565911,374.84029749063217,846.9638923583504,2166.057681389801,2586.470250936753,2511.045588736231,2824.033268990572,-0.1298600903813624,-0.5330436044130767,-0.1618480990853027,0.1588517793946353,0.718342016266953,0.1554420879433953,-0.6190142545155797,1271.5034773475634,11531.52011405629,0.0,0.0,0.8790023959921586,0.0,0.1209976040078414,0.0
"4929,25326",1909.2127722814312,337.5839401723918,628.1167094815507,361.41819880259845,1015.4251730287464,3026.7714109804265,3726.296749607236,3846.103992399471,4009.400428856524,-0.2783811778643029,-0.5119626476135146,-0.3149163406024128,0.091174718702585,0.8153103751551045,0.088629743493559,-0.7090293662871309,1682.6722432168476,11518.10668715303,0.0,0.0068889419317089,1.0,0.0,0.0,0.0
"4930,25326",1808.4946624129573,390.03432620632526,584.335945887911,519.0231908954261,922.6108776342832,2051.9857050829773,2424.84522531366,2485.626752354367,2699.510353078315,-0.0999425615789366,-0.5308073487119874,-0.153587037137738,0.1139926435063117,0.652166939374329,0.1044456681218311,-0.61735889832865,1360.3484270989911,11506.988413632716,0.0065903887780581,0.0063960252831925,1.0,0.0,0.0,0.0
"4927,25327",2256.817616530514,431.8624026910141,716.4556655454111,532.279490629505,1142.3029312830363,2629.441701105238,3042.678212397885,3175.2959827006266,3336.8033445458914,-0.102307556186915,-0.5222299475929932,-0.144703403262165,0.1563581232944697,0.7083340345959662,0.181555664412983,-0.6270945217476509,1730.6708313310912,11385.339728910572,0.0062534290875697,0.0,1.0,0.0,0.0,0.0
"4928,25327",2334.079318868154,429.5442590907203,759.5638884292375,572.4518212468447,1263.2199044388344,2892.146449551147,3354.313014520326,3473.0243711992653,3647.469966491531,-0.1533069333779493,-0.513795974805592,-0.2034033641675453,0.1669862903810176,0.721641805964409,0.1857462810533334,-0.6450254632566059,1858.1068625118912,11369.416084777688,0.0,0.0,1.0,0.0,0.0,0.0
"4929,25327",1895.043859444176,329.1979720336898,594.9267782671159,384.067964907771,973.050243566228,2740.8390184923383,3357.4804504514964,3434.7613635036096,3612.233327103016,-0.2326547519348467,-0.5240592708200135,-0.2678071247350888,0.1192034239070198,0.7810304144603482,0.1151354045562155,-0.685504700013678,1581.086492295826,11355.81159164683,0.000212825733243,0.0,0.9970213760074758,0.0,0.0,0.0029786239925242
